school_id,pupil_id,grade,attendance_records,present_records
108210,566,Grade 2,93,77
7956,568,Grade 2,95,58
822894,569,Grade 1,84,83
628537,571,Grade 2,86,40
10904,573,Grade 1,74,40
401898,575,Grade 3,86,76
324884,579,Grade 3,77,61
646056,581,Grade 2,78,65
447445,583,Grade 1,73,51
329344,584,Grade 4,100,64
326599,585,Grade 4,38,33
329344,586,Grade 3,91,52
46684,588,Grade 3,97,63
293664,591,Grade 2,93,80
108210,592,Grade 1,89,74
75848,597,Grade 5,98,83
607904,599,Grade 5,67,53
601798,600,Grade 4,93,79
326599,602,Grade 3,102,46
565811,606,Grade 2,94,84
628537,609,Grade 1,101,54
28860,613,Grade 4,13,6
592421,617,Grade 3,104,96
363280,619,Grade 2,81,21
273888,621,Grade 1,99,60
34092,622,Grade 5,41,37
5502,624,Grade 2,94,56
286984,627,Grade 3,59,46
30690,630,Grade 1,77,33
25434,632,Grade 5,100,97
196896,639,Grade 4,86,31
32940,641,Grade 2,61,28
47025,643,Grade 2,99,80
792,646,Grade 1,95,55
286984,647,Grade 3,59,52
489918,651,Grade 5,55,54
491645,654,Grade 5,97,57
53103,655,Grade 2,102,85
196896,658,Grade 3,94,78
73360,663,Grade 1,97,75
403506,665,Grade 1,98,53
35175,668,Grade 2,97,85
359640,671,Grade 3,97,96
563568,672,Grade 1,95,85
47025,674,Grade 1,92,88
419336,680,Grade 2,98,83
83388,681,Grade 1,85,55
46528,685,Grade 4,49,40
822894,686,Grade 2,92,72
792,690,Grade 5,99,80
25434,692,Grade 1,100,73
9342,694,Grade 2,100,61
223941,695,Grade 5,95,83
304425,696,Grade 5,75,55
73360,697,Grade 1,97,54
49698,698,Grade 3,95,83
73360,701,Grade 4,91,76
304425,703,Grade 2,95,65
75848,705,Grade 2,94,52
324884,708,Grade 2,69,61
592421,712,Grade 2,50,37
363825,713,Grade 1,83,70
858450,714,Grade 5,86,77
324884,715,Grade 1,75,73
56803,717,Grade 4,98,86
489918,718,Grade 1,102,95
36848,719,Grade 1,80,63
273888,720,Grade 2,70,48
628537,721,Grade 2,86,67
273888,723,Grade 4,98,88
165300,725,Grade 5,89,45
609982,726,Grade 3,106,93
283971,727,Grade 3,53,47
168804,729,Grade 4,39,38
230373,731,Grade 2,101,81
88122,732,Grade 2,97,87
406350,733,Grade 1,86,67
36848,734,Grade 2,100,86
175100,735,Grade 1,93,39
83388,736,Grade 1,85,35
34675,737,Grade 3,100,79
991980,738,Grade 2,73,72
196896,740,Grade 3,92,74
324884,742,Grade 1,83,76
419336,745,Grade 5,45,40
991980,747,Grade 4,91,75
9342,753,Grade 2,98,84
359640,754,Grade 3,97,81
563568,757,Grade 5,74,60
403506,758,Grade 4,102,90
447445,759,Grade 3,85,62
304425,762,Grade 3,80,75
230373,763,Grade 4,104,75
108210,764,Grade 5,97,85
363280,765,Grade 1,90,55
401898,767,Grade 1,40,26
401280,768,Grade 5,93,89
687400,771,Grade 3,91,76
14475,777,Grade 4,83,59
423500,782,Grade 1,92,71
592421,783,Grade 2,97,92
25263,784,Grade 4,89,83
32940,785,Grade 3,31,18
563568,786,Grade 1,95,80
864156,788,Grade 4,98,57
10904,790,Grade 1,75,58
406350,791,Grade 4,99,79
14475,792,Grade 2,77,58
581940,793,Grade 4,102,83
501872,794,Grade 5,90,81
7956,801,Grade 5,38,29
273888,803,Grade 5,84,3
7956,806,Grade 2,95,77
273888,809,Grade 5,84,80
25263,811,Grade 4,89,58
958934,814,Grade 1,100,76
423500,815,Grade 3,44,31
201569,818,Grade 2,97,51
759451,821,Grade 5,51,46
42240,823,Grade 4,76,64
56406,824,Grade 2,94,57
792,825,Grade 1,95,70
419336,827,Grade 1,103,63
65520,828,Grade 3,86,49
609982,835,Grade 4,93,52
49404,837,Grade 4,91,78
17404,838,Grade 3,91,80
359640,841,Grade 3,97,77
65520,842,Grade 1,69,55
363825,846,Grade 4,63,57
687400,847,Grade 2,102,80
401898,848,Grade 5,44,43
822894,849,Grade 3,88,70
83388,853,Grade 5,95,60
173720,857,Grade 1,91,80
616880,858,Grade 3,29,24
201569,860,Grade 5,96,94
293664,863,Grade 1,87,28
196896,865,Grade 2,95,87
230373,866,Grade 3,79,58
628537,868,Grade 4,40,36
356775,870,Grade 3,81,52
226128,871,Grade 2,91,83
283971,873,Grade 3,91,86
196896,876,Grade 5,60,54
118338,877,Grade 4,98,71
118338,879,Grade 4,98,78
363825,882,Grade 5,75,72
592421,887,Grade 4,102,83
65520,893,Grade 1,69,67
858450,895,Grade 2,102,89
118338,896,Grade 5,88,77
35175,897,Grade 4,84,73
421680,900,Grade 2,99,70
759451,903,Grade 3,20,17
55770,905,Grade 1,106,76
206948,906,Grade 1,102,96
108210,907,Grade 1,89,41
7956,910,Grade 4,69,68
5502,912,Grade 2,94,58
175100,913,Grade 2,80,62
581940,915,Grade 3,105,83
10904,917,Grade 1,52,46
565811,919,Grade 4,92,55
858450,922,Grade 1,73,70
39078,923,Grade 4,30,22
10904,926,Grade 1,75,66
491645,927,Grade 1,106,92
32940,931,Grade 2,61,46
34092,934,Grade 1,53,7
264915,935,Grade 1,102,72
687400,937,Grade 1,99,87
88122,939,Grade 2,97,94
34675,943,Grade 2,65,34
25434,946,Grade 1,100,91
46528,951,Grade 5,89,81
10904,953,Grade 2,97,86
8084,956,Grade 5,92,65
53103,958,Grade 4,100,71
73360,961,Grade 2,98,66
166905,962,Grade 4,57,19
259688,963,Grade 3,88,58
218688,964,Grade 2,64,39
20972,966,Grade 4,102,82
25263,969,Grade 3,91,80
323877,971,Grade 1,85,69
687400,978,Grade 3,91,91
239870,984,Grade 4,100,99
283971,987,Grade 3,91,79
201569,990,Grade 2,97,71
359640,993,Grade 3,97,78
583940,994,Grade 5,47,42
88122,995,Grade 3,98,94
991980,996,Grade 4,84,62
136992,998,Grade 4,100,98
136992,1005,Grade 1,65,43
958934,1007,Grade 2,93,61
73360,1008,Grade 1,97,77
7956,1009,Grade 4,69,58
168804,1010,Grade 4,94,65
419336,1013,Grade 1,103,59
991980,1014,Grade 3,73,55
36848,1017,Grade 4,100,27
273888,1021,Grade 5,84,74
168804,1022,Grade 2,68,41
601798,1028,Grade 5,101,62
447445,1029,Grade 1,73,53
283971,1030,Grade 2,88,71
42240,1032,Grade 4,76,67
609982,1036,Grade 5,45,18
447445,1038,Grade 1,73,67
239870,1039,Grade 2,109,86
10904,1041,Grade 1,75,52
257904,1042,Grade 4,83,6
32940,1044,Grade 5,33,28
175100,1048,Grade 5,82,70
34675,1049,Grade 1,92,58
401898,1054,Grade 1,55,46
403506,1056,Grade 4,102,41
108210,1059,Grade 3,96,91
10904,1061,Grade 1,74,49
49698,1065,Grade 1,99,70
283971,1066,Grade 1,103,89
173720,1067,Grade 2,93,25
314160,1069,Grade 1,100,58
264915,1070,Grade 3,106,88
49698,1073,Grade 4,75,58
55770,1074,Grade 4,83,21
9342,1075,Grade 3,59,38
963352,1076,Grade 4,104,60
858450,1077,Grade 3,85,35
123695,1078,Grade 2,73,67
36848,1086,Grade 3,45,41
39078,1087,Grade 3,77,57
293664,1092,Grade 2,77,40
108210,1094,Grade 1,47,14
264915,1096,Grade 1,102,84
359640,1099,Grade 2,88,73
329344,1102,Grade 3,91,79
40580,1108,Grade 1,101,69
40580,1110,Grade 4,42,40
166905,1111,Grade 4,74,47
491645,1112,Grade 5,44,37
581940,1113,Grade 5,98,79
423500,1114,Grade 2,102,85
206948,1115,Grade 5,51,49
359640,1116,Grade 4,85,65
259688,1117,Grade 1,103,69
88122,1118,Grade 1,84,74
958934,1120,Grade 3,92,28
963352,1126,Grade 4,46,38
55770,1128,Grade 5,41,41
607904,1130,Grade 3,29,22
575416,1131,Grade 2,94,72
25434,1132,Grade 2,94,51
501872,1133,Grade 1,73,42
423500,1134,Grade 4,33,32
47025,1136,Grade 2,101,84
28112,1137,Grade 2,78,51
14475,1138,Grade 2,77,56
9342,1141,Grade 3,59,42
991980,1143,Grade 2,73,70
223941,1144,Grade 3,57,39
491645,1147,Grade 5,44,41
39078,1148,Grade 2,89,84
223941,1149,Grade 4,63,45
173720,1150,Grade 2,93,71
28860,1151,Grade 1,102,93
166905,1155,Grade 2,45,38
35175,1156,Grade 2,97,76
406350,1159,Grade 2,59,40
607904,1162,Grade 2,81,62
323877,1168,Grade 3,102,93
230373,1170,Grade 3,81,67
16230,1171,Grade 4,74,62
401898,1172,Grade 1,55,46
46528,1175,Grade 5,89,70
264915,1177,Grade 2,96,46
206948,1181,Grade 1,102,74
324884,1184,Grade 1,83,83
32940,1186,Grade 2,61,48
401280,1187,Grade 1,95,63
17404,1188,Grade 1,103,86
108210,1191,Grade 3,98,76
49698,1192,Grade 4,83,49
32940,1193,Grade 2,61,48
230373,1198,Grade 5,86,61
14475,1200,Grade 1,80,62
34092,1201,Grade 4,18,1
687400,1202,Grade 5,100,71
230373,1203,Grade 4,104,94
563568,1204,Grade 2,90,80
563568,1205,Grade 3,41,39
25434,1208,Grade 3,86,82
108210,1210,Grade 3,96,78
49698,1216,Grade 5,86,78
363825,1218,Grade 2,91,82
155343,1219,Grade 3,94,73
47025,1220,Grade 4,103,100
363825,1225,Grade 1,83,64
108210,1226,Grade 3,96,89
326599,1228,Grade 3,102,75
297076,1233,Grade 2,80,70
156096,1234,Grade 4,84,73
175100,1236,Grade 1,93,85
323877,1239,Grade 3,102,92
226128,1242,Grade 2,97,73
83388,1243,Grade 2,66,64
56803,1244,Grade 3,97,52
42240,1245,Grade 1,58,29
359640,1247,Grade 1,78,49
447445,1248,Grade 5,39,37
28860,1250,Grade 2,102,90
28112,1251,Grade 3,84,64
583940,1255,Grade 4,104,66
592421,1256,Grade 1,85,53
687400,1258,Grade 1,99,84
46684,1261,Grade 5,38,24
687400,1266,Grade 4,101,93
9342,1267,Grade 3,18,8
324884,1268,Grade 2,69,69
581940,1269,Grade 2,107,86
17404,1271,Grade 1,103,53
34675,1272,Grade 1,92,81
628537,1274,Grade 4,40,33
8084,1277,Grade 2,102,68
425124,1279,Grade 3,99,73
447445,1280,Grade 1,73,63
406350,1282,Grade 1,90,75
406350,1285,Grade 3,97,83
175100,1286,Grade 2,80,80
609982,1287,Grade 4,93,63
36848,1289,Grade 4,100,0
136992,1294,Grade 4,100,62
112034,1303,Grade 4,46,44
359640,1306,Grade 2,88,78
297076,1307,Grade 2,80,69
112034,1313,Grade 5,102,74
592421,1319,Grade 4,102,86
581940,1320,Grade 3,105,86
565811,1321,Grade 1,92,42
759451,1325,Grade 4,32,15
563568,1328,Grade 2,90,79
25263,1329,Grade 4,85,60
112034,1331,Grade 2,65,34
112034,1335,Grade 2,101,75
42240,1338,Grade 2,107,81
359640,1339,Grade 3,97,84
592421,1340,Grade 2,97,58
88122,1348,Grade 5,97,65
118338,1350,Grade 1,88,78
314160,1352,Grade 5,82,63
28860,1354,Grade 2,102,99
34092,1362,Grade 5,41,37
206948,1363,Grade 3,81,60
73360,1364,Grade 3,96,69
56406,1368,Grade 2,94,74
963352,1372,Grade 3,108,85
363280,1375,Grade 4,75,43
83388,1377,Grade 1,85,63
421680,1378,Grade 2,99,82
196896,1379,Grade 3,94,75
108210,1380,Grade 5,97,40
230373,1381,Grade 3,71,52
166905,1383,Grade 4,74,32
49404,1386,Grade 2,93,55
324884,1391,Grade 1,71,41
35175,1392,Grade 1,91,66
304425,1396,Grade 2,95,88
425124,1397,Grade 2,99,92
304425,1398,Grade 4,78,71
230373,1399,Grade 1,96,76
155343,1400,Grade 2,94,92
55770,1404,Grade 2,92,79
609982,1406,Grade 1,97,76
419336,1411,Grade 4,91,76
963352,1412,Grade 2,109,65
65520,1413,Grade 1,69,63
47025,1414,Grade 1,82,53
259688,1415,Grade 3,88,71
17404,1420,Grade 4,99,67
136992,1425,Grade 2,101,83
75848,1428,Grade 4,67,37
416,1430,Grade 1,85,65
406350,1433,Grade 1,90,69
30690,1436,Grade 2,61,29
687400,1439,Grade 2,102,96
168804,1440,Grade 5,55,38
403506,1441,Grade 5,86,66
8084,1444,Grade 5,92,50
25434,1445,Grade 1,94,66
16230,1448,Grade 1,103,31
14475,1449,Grade 1,80,67
34675,1451,Grade 1,92,70
406350,1452,Grade 1,90,55
223545,1453,Grade 5,40,33
56803,1459,Grade 3,97,77
423500,1461,Grade 3,100,76
46684,1462,Grade 4,36,34
401898,1463,Grade 1,55,40
83388,1464,Grade 4,93,57
581940,1465,Grade 1,98,70
609982,1467,Grade 4,93,65
40580,1472,Grade 4,72,68
25263,1475,Grade 2,100,82
616880,1477,Grade 5,23,21
963352,1479,Grade 4,104,78
489918,1481,Grade 3,107,101
239870,1486,Grade 1,86,68
646056,1489,Grade 5,44,23
359640,1494,Grade 5,48,38
20972,1498,Grade 3,103,91
401280,1501,Grade 1,95,72
359640,1502,Grade 1,78,61
687400,1503,Grade 4,44,42
792,1504,Grade 3,104,76
10904,1505,Grade 1,75,66
489918,1506,Grade 5,55,55
314160,1510,Grade 2,105,88
286984,1514,Grade 5,97,69
34675,1517,Grade 1,92,82
56406,1518,Grade 1,46,40
47025,1520,Grade 3,71,67
73360,1521,Grade 5,100,67
56406,1525,Grade 2,94,71
206948,1527,Grade 3,96,64
324884,1530,Grade 3,77,77
991980,1533,Grade 4,91,81
173720,1534,Grade 5,80,62
401280,1536,Grade 2,96,62
83388,1537,Grade 1,85,40
123695,1544,Grade 5,37,32
324884,1546,Grade 4,38,1
56406,1547,Grade 1,46,42
49404,1548,Grade 2,93,73
168804,1549,Grade 3,88,55
28860,1550,Grade 3,99,87
628537,1556,Grade 5,76,50
28112,1562,Grade 5,45,45
49698,1563,Grade 1,98,84
363280,1567,Grade 2,96,90
223941,1568,Grade 2,97,54
406350,1569,Grade 3,97,73
283971,1571,Grade 2,88,71
563568,1573,Grade 1,95,85
581940,1578,Grade 1,98,83
293664,1579,Grade 2,93,79
324884,1583,Grade 4,90,87
156096,1585,Grade 3,94,84
304425,1587,Grade 5,75,74
314160,1594,Grade 4,86,82
259688,1595,Grade 2,97,74
112034,1597,Grade 2,101,95
10904,1598,Grade 5,46,45
609982,1603,Grade 3,106,86
36848,1604,Grade 3,100,82
49404,1605,Grade 5,101,87
108210,1606,Grade 2,93,81
49698,1607,Grade 2,84,73
359640,1608,Grade 1,63,48
401898,1609,Grade 5,98,76
323877,1610,Grade 2,104,83
39078,1612,Grade 2,76,56
25263,1613,Grade 4,89,64
65520,1616,Grade 2,89,69
42240,1619,Grade 2,107,48
363825,1620,Grade 1,83,77
601798,1622,Grade 1,61,12
16230,1625,Grade 2,87,51
28860,1632,Grade 5,83,72
47025,1633,Grade 5,97,74
218688,1635,Grade 1,82,59
16230,1636,Grade 1,103,75
592421,1639,Grade 2,97,81
65520,1641,Grade 5,85,47
416,1642,Grade 5,86,56
575416,1643,Grade 5,64,62
75848,1644,Grade 4,90,74
958934,1646,Grade 3,45,0
47025,1647,Grade 5,77,62
323877,1648,Grade 1,98,82
226128,1653,Grade 4,86,75
28860,1654,Grade 4,13,13
218688,1655,Grade 1,80,54
218688,1657,Grade 5,76,54
501872,1660,Grade 3,69,35
10904,1661,Grade 2,97,81
73360,1662,Grade 4,91,67
165300,1663,Grade 3,99,67
356775,1666,Grade 5,64,63
16230,1667,Grade 1,103,88
864156,1669,Grade 5,63,58
363825,1672,Grade 4,63,36
17404,1673,Grade 1,103,65
419336,1674,Grade 4,91,80
83388,1676,Grade 1,85,71
49404,1677,Grade 5,101,59
206948,1678,Grade 3,96,84
7956,1682,Grade 2,95,74
201569,1685,Grade 5,96,88
56803,1687,Grade 5,64,55
489918,1690,Grade 1,102,95
283971,1691,Grade 3,91,90
297076,1692,Grade 5,39,38
909600,1694,Grade 3,108,45
14475,1695,Grade 4,6,6
963352,1696,Grade 3,108,79
687400,1699,Grade 4,101,69
230373,1700,Grade 4,104,79
293664,1701,Grade 3,37,27
447445,1706,Grade 1,73,57
55770,1709,Grade 3,96,70
47025,1710,Grade 1,92,86
73360,1712,Grade 3,96,73
565811,1714,Grade 3,68,40
909600,1715,Grade 4,103,77
583940,1720,Grade 5,47,41
792,1722,Grade 2,96,87
17404,1725,Grade 1,89,38
166905,1726,Grade 4,35,26
196896,1727,Grade 3,81,78
575416,1731,Grade 1,71,56
118338,1733,Grade 3,91,78
16230,1735,Grade 1,103,58
39078,1736,Grade 3,91,77
156096,1737,Grade 1,19,16
283971,1744,Grade 2,88,78
425124,1745,Grade 4,91,88
49698,1748,Grade 1,98,75
646056,1750,Grade 3,95,85
28860,1757,Grade 1,102,72
223941,1758,Grade 1,92,63
581940,1764,Grade 2,107,71
196896,1766,Grade 4,86,54
20972,1767,Grade 5,95,54
49698,1770,Grade 2,84,70
46684,1773,Grade 2,96,72
7956,1776,Grade 1,96,87
406350,1778,Grade 3,97,81
34675,1781,Grade 4,45,42
28112,1790,Grade 1,71,70
359640,1792,Grade 3,97,74
581940,1793,Grade 3,105,90
226128,1795,Grade 2,97,84
323877,1798,Grade 4,99,86
419336,1799,Grade 3,97,83
108210,1800,Grade 5,97,24
489918,1802,Grade 5,55,52
264915,1805,Grade 5,46,44
356775,1810,Grade 3,81,61
156096,1812,Grade 1,19,17
28112,1813,Grade 1,71,65
858450,1814,Grade 3,94,54
8084,1815,Grade 1,94,69
49698,1816,Grade 2,70,49
47025,1818,Grade 3,76,73
56803,1819,Grade 5,32,32
489918,1822,Grade 4,44,44
583940,1826,Grade 3,101,88
206948,1827,Grade 2,88,61
5502,1828,Grade 3,97,39
10904,1829,Grade 2,97,84
239870,1830,Grade 5,48,47
297076,1832,Grade 2,80,74
223941,1834,Grade 5,95,83
118338,1835,Grade 2,101,94
575416,1837,Grade 3,100,82
423500,1839,Grade 2,102,77
314160,1841,Grade 2,105,94
173720,1847,Grade 5,99,89
8084,1848,Grade 1,107,40
646056,1849,Grade 5,85,81
36848,1854,Grade 1,80,22
206948,1855,Grade 4,99,95
401280,1857,Grade 2,96,75
314160,1858,Grade 5,34,26
563568,1860,Grade 2,90,84
421680,1861,Grade 5,77,46
283971,1863,Grade 3,91,87
489918,1865,Grade 1,102,89
112034,1866,Grade 4,46,43
581940,1867,Grade 3,105,80
20972,1868,Grade 5,95,75
324884,1870,Grade 1,83,66
909600,1875,Grade 3,108,91
864156,1877,Grade 3,98,52
118338,1883,Grade 1,88,37
40580,1885,Grade 4,99,60
40580,1890,Grade 3,103,82
34675,1891,Grade 2,98,79
156096,1895,Grade 3,94,79
401280,1896,Grade 4,81,76
329344,1899,Grade 5,57,46
423500,1900,Grade 2,102,77
687400,1903,Grade 2,102,73
592421,1905,Grade 5,81,75
401898,1907,Grade 3,86,64
196896,1910,Grade 1,94,74
592421,1911,Grade 4,102,81
363280,1915,Grade 5,41,38
230373,1917,Grade 1,96,66
616880,1919,Grade 3,29,24
609982,1920,Grade 3,106,82
501872,1921,Grade 3,69,55
40580,1923,Grade 5,100,23
5502,1924,Grade 1,85,55
491645,1928,Grade 5,97,88
297076,1929,Grade 1,68,63
230373,1930,Grade 3,79,56
49404,1931,Grade 3,99,71
34675,1932,Grade 4,90,75
425124,1934,Grade 2,99,80
166905,1937,Grade 5,37,31
108210,1940,Grade 5,97,90
239870,1942,Grade 2,93,72
56406,1944,Grade 2,94,77
5502,1948,Grade 4,64,57
388800,1949,Grade 3,85,58
616880,1953,Grade 4,30,20
8084,1956,Grade 2,100,29
563568,1958,Grade 1,95,83
687400,1960,Grade 2,102,97
687400,1962,Grade 4,64,33
30690,1969,Grade 2,61,42
88122,1975,Grade 1,84,81
646056,1979,Grade 5,85,71
416,1980,Grade 1,85,74
491645,1981,Grade 3,100,75
10904,1983,Grade 2,97,81
46528,1984,Grade 1,106,54
9342,1985,Grade 4,42,25
230373,1987,Grade 1,96,72
118338,1990,Grade 2,3,3
388800,1992,Grade 5,79,69
