school_id,teacher_id,grade,lesson_completion_rate
65520,463,Grade 5,0
73360,409,Grade 1,0
73360,406,Grade 2,1
73360,387,Grade 3,1
73360,309,Grade 4,0
73360,310,Grade 5,1
75848,192,Grade 1,0
75848,531,Grade 2,1
75848,308,Grade 3,1
75848,122,Grade 4,0
75848,123,Grade 5,1
83388,355,Grade 1,1
83388,538,Grade 2,0
83388,501,Grade 3,1
83388,379,Grade 4,1
83388,556,Grade 5,1
88122,733,Grade 1,1
88122,509,Grade 2,1
88122,700,Grade 3,1
88122,6,Grade 4,1
88122,7,Grade 5,1
108210,323,Grade 1,0
108210,53,Grade 2,1
108210,629,Grade 3,1
108210,18,Grade 4,1
108210,341,Grade 5,1
112034,276,Grade 1,1
112034,279,Grade 2,1
112034,243,Grade 3,1
112034,426,Grade 4,1
112034,118,Grade 5,0
118338,214,Grade 1,1
118338,670,Grade 2,1
118338,614,Grade 3,0
118338,143,Grade 4,1
118338,169,Grade 5,0
123695,622,Grade 1,1
123695,491,Grade 2,1
123695,366,Grade 3,1
123695,184,Grade 4,0
123695,185,Grade 5,1
136992,42,Grade 1,1
136992,208,Grade 2,1
136992,568,Grade 3,1
136992,532,Grade 4,1
136992,533,Grade 5,1
155343,33,Grade 1,1
155343,413,Grade 2,1
155343,191,Grade 3,1
155343,292,Grade 4,1
155343,293,Grade 5,1
156096,140,Grade 1,0
156096,662,Grade 2,1
156096,475,Grade 3,0
156096,141,Grade 4,0
156096,615,Grade 5,0
165300,320,Grade 1,1
165300,334,Grade 2,1
165300,431,Grade 3,1
165300,304,Grade 4,0
165300,305,Grade 5,1
166905,139,Grade 1,1
166905,757,Grade 2,0
166905,348,Grade 3,0
166905,189,Grade 4,0
166905,190,Grade 5,1
168804,3,Grade 1,1
168804,17,Grade 2,0
168804,373,Grade 3,1
168804,584,Grade 4,1
168804,9,Grade 5,0
173720,347,Grade 1,1
173720,405,Grade 2,1
173720,336,Grade 3,0
173720,162,Grade 4,0
173720,163,Grade 5,1
175100,327,Grade 1,1
175100,170,Grade 2,1
175100,171,Grade 3,1
175100,696,Grade 4,1
175100,697,Grade 5,0
196896,417,Grade 1,1
196896,115,Grade 2,1
196896,248,Grade 3,1
196896,381,Grade 4,1
196896,361,Grade 5,0
201569,161,Grade 1,1
201569,240,Grade 2,1
201569,620,Grade 3,1
201569,541,Grade 4,1
201569,542,Grade 5,1
206948,489,Grade 1,1
206948,701,Grade 2,1
206948,337,Grade 3,1
206948,441,Grade 4,0
206948,291,Grade 5,0
218688,663,Grade 1,1
218688,246,Grade 2,1
218688,495,Grade 3,1
218688,664,Grade 4,0
218688,665,Grade 5,1
223545,128,Grade 1,1
223545,56,Grade 2,1
223545,354,Grade 3,1
223545,611,Grade 4,0
223545,612,Grade 5,1
223941,577,Grade 1,1
223941,718,Grade 2,1
223941,521,Grade 3,0
223941,601,Grade 4,0
223941,602,Grade 5,0
226128,268,Grade 1,1
226128,586,Grade 2,1
226128,508,Grade 3,1
226128,329,Grade 4,0
226128,345,Grade 5,1
230373,285,Grade 1,1
230373,271,Grade 2,1
230373,360,Grade 3,1
230373,237,Grade 4,1
230373,277,Grade 5,0
239870,437,Grade 1,1
239870,126,Grade 2,1
239870,425,Grade 3,1
239870,423,Grade 4,1
239870,632,Grade 5,1
257904,60,Grade 1,1
257904,135,Grade 2,1
257904,136,Grade 3,1
257904,306,Grade 4,0
257904,307,Grade 5,1
259688,180,Grade 1,1
259688,408,Grade 2,1
259688,175,Grade 3,1
259688,176,Grade 4,1
259688,177,Grade 5,1
264915,67,Grade 1,1
264915,188,Grade 2,1
264915,681,Grade 3,1
264915,155,Grade 4,0
264915,719,Grade 5,1
273888,275,Grade 1,1
273888,453,Grade 2,1
273888,707,Grade 3,1
273888,37,Grade 4,1
273888,392,Grade 5,1
283971,528,Grade 1,1
283971,302,Grade 2,1
283971,82,Grade 3,1
283971,698,Grade 4,1
283971,412,Grade 5,1
286984,75,Grade 1,1
286984,166,Grade 2,1
286984,752,Grade 3,1
286984,221,Grade 4,0
286984,222,Grade 5,1
293664,616,Grade 1,1
293664,343,Grade 2,1
293664,524,Grade 3,1
293664,482,Grade 4,0
293664,179,Grade 5,0
297076,591,Grade 1,0
297076,592,Grade 2,1
297076,638,Grade 3,1
297076,383,Grade 4,0
297076,384,Grade 5,1
304425,702,Grade 1,1
304425,193,Grade 2,1
304425,536,Grade 3,0
304425,10,Grade 4,1
304425,11,Grade 5,1
314160,537,Grade 1,1
314160,242,Grade 2,1
314160,634,Grade 3,1
314160,227,Grade 4,0
314160,228,Grade 5,1
323877,488,Grade 1,1
323877,510,Grade 2,1
323877,303,Grade 3,1
323877,295,Grade 4,0
323877,147,Grade 5,0
324884,513,Grade 1,1
324884,418,Grade 2,1
324884,215,Grade 3,1
324884,297,Grade 4,0
324884,479,Grade 5,1
326599,569,Grade 1,1
326599,1,Grade 2,1
326599,346,Grade 3,1
326599,476,Grade 4,0
326599,77,Grade 5,1
329344,727,Grade 1,1
329344,71,Grade 2,0
329344,440,Grade 3,1
329344,728,Grade 4,1
329344,729,Grade 5,1
356775,367,Grade 1,0
356775,252,Grade 2,1
356775,716,Grade 3,1
356775,100,Grade 4,0
356775,717,Grade 5,1
359640,356,Grade 1,0
359640,47,Grade 2,1
359640,91,Grade 3,1
359640,438,Grade 4,0
359640,46,Grade 5,1
363280,398,Grade 1,0
363280,625,Grade 2,0
363280,504,Grade 3,0
363280,111,Grade 4,0
363280,420,Grade 5,0
363825,578,Grade 1,1
363825,582,Grade 2,1
363825,31,Grade 3,1
363825,32,Grade 4,1
363825,581,Grade 5,1
388800,503,Grade 1,1
388800,575,Grade 2,0
388800,499,Grade 3,1
388800,229,Grade 4,0
388800,362,Grade 5,0
401280,286,Grade 1,1
401280,416,Grade 2,1
401280,250,Grade 3,1
401280,446,Grade 4,0
401280,447,Grade 5,1
401898,590,Grade 1,0
401898,372,Grade 2,1
401898,589,Grade 3,0
401898,655,Grade 4,0
401898,656,Grade 5,1
403506,16,Grade 1,1
403506,363,Grade 2,1
403506,225,Grade 3,1
403506,315,Grade 4,0
403506,316,Grade 5,1
406350,430,Grade 1,1
406350,64,Grade 2,1
406350,68,Grade 3,1
406350,255,Grade 4,0
406350,370,Grade 5,1
419336,294,Grade 1,1
419336,2,Grade 2,1
419336,378,Grade 3,0
419336,459,Grade 4,1
419336,511,Grade 5,1
421680,546,Grade 1,1
421680,415,Grade 2,1
421680,299,Grade 3,0
421680,364,Grade 4,1
421680,660,Grade 5,1
423500,433,Grade 1,1
423500,464,Grade 2,1
423500,165,Grade 3,1
423500,645,Grade 4,0
423500,646,Grade 5,0
425124,679,Grade 1,1
425124,396,Grade 2,1
425124,129,Grade 3,1
425124,40,Grade 4,1
425124,218,Grade 5,1
447445,639,Grade 1,0
447445,605,Grade 2,0
447445,57,Grade 3,0
447445,317,Grade 4,0
447445,385,Grade 5,0
489918,654,Grade 1,1
489918,326,Grade 2,0
489918,481,Grade 3,1
489918,750,Grade 4,0
489918,749,Grade 5,0
491645,571,Grade 1,1
491645,150,Grade 2,1
491645,267,Grade 3,1
491645,506,Grade 4,1
491645,673,Grade 5,1
501872,682,Grade 1,1
501872,404,Grade 2,0
501872,743,Grade 3,1
501872,467,Grade 4,0
501872,78,Grade 5,0
563568,561,Grade 1,1
563568,61,Grade 2,1
563568,342,Grade 3,1
563568,157,Grade 4,0
563568,333,Grade 5,0
565811,523,Grade 1,1
565811,167,Grade 2,1
565811,369,Grade 3,1
565811,102,Grade 4,1
565811,103,Grade 5,1
575416,617,Grade 1,1
575416,213,Grade 2,1
575416,494,Grade 3,1
575416,87,Grade 4,0
575416,88,Grade 5,0
581940,597,Grade 1,1
581940,594,Grade 2,1
581940,691,Grade 3,1
581940,587,Grade 4,1
581940,588,Grade 5,1
583940,690,Grade 1,1
583940,730,Grade 2,1
583940,196,Grade 3,0
583940,85,Grade 4,1
583940,99,Grade 5,1
592421,83,Grade 1,0
592421,500,Grade 2,0
592421,393,Grade 3,1
592421,280,Grade 4,0
592421,564,Grade 5,1
601798,338,Grade 1,1
601798,648,Grade 2,1
601798,685,Grade 3,1
601798,683,Grade 4,0
601798,684,Grade 5,0
607904,28,Grade 1,1
607904,203,Grade 2,1
607904,472,Grade 3,0
607904,244,Grade 4,0
607904,245,Grade 5,1
609982,543,Grade 1,1
609982,631,Grade 2,0
609982,540,Grade 3,1
609982,454,Grade 4,0
609982,455,Grade 5,1
616880,553,Grade 1,0
616880,98,Grade 2,0
616880,763,Grade 3,0
616880,705,Grade 4,0
616880,706,Grade 5,0
628537,15,Grade 1,1
628537,344,Grade 2,1
628537,403,Grade 3,1
628537,94,Grade 4,0
628537,659,Grade 5,1
646056,109,Grade 1,1
646056,576,Grade 2,0
646056,680,Grade 3,1
646056,636,Grade 4,1
646056,652,Grade 5,1
687400,65,Grade 1,1
687400,137,Grade 2,1
687400,429,Grade 3,0
687400,686,Grade 4,1
687400,737,Grade 5,1
759451,723,Grade 1,0
759451,570,Grade 2,0
759451,474,Grade 3,0
759451,131,Grade 4,0
759451,742,Grade 5,0
822894,606,Grade 1,1
822894,359,Grade 2,1
822894,552,Grade 3,1
822894,711,Grade 4,0
822894,204,Grade 5,1
858450,428,Grade 1,0
858450,270,Grade 2,1
858450,273,Grade 3,1
858450,34,Grade 4,0
858450,39,Grade 5,0
864156,232,Grade 1,1
864156,465,Grade 2,1
864156,311,Grade 3,1
864156,186,Grade 4,1
864156,624,Grade 5,1
909600,419,Grade 1,1
909600,290,Grade 2,1
909600,325,Grade 3,1
909600,608,Grade 4,1
909600,609,Grade 5,1
958934,368,Grade 1,1
958934,583,Grade 2,1
958934,630,Grade 3,1
958934,492,Grade 4,0
958934,704,Grade 5,0
963352,693,Grade 1,1
963352,627,Grade 2,1
963352,607,Grade 3,1
963352,300,Grade 4,1
963352,301,Grade 5,1
991980,89,Grade 1,1
991980,164,Grade 2,1
991980,90,Grade 3,1
991980,106,Grade 4,1
991980,105,Grade 5,0
