school_id,pupil_id,grade,subject,score
489918,83,Grade 1,Fluency,57
489918,83,Grade 1,Math,1
489918,83,Grade 1,Kiswahili,1
223941,89,Grade 4,Math,1
223941,89,Grade 4,Kiswahili,1
223941,89,Grade 4,Fluency,210
36848,91,Grade 5,Kiswahili,0
36848,91,Grade 5,Fluency,43
36848,91,Grade 5,Math,0
40580,94,Grade 5,Kiswahili,1
40580,94,Grade 5,Fluency,109
40580,94,Grade 5,Math,1
583940,95,Grade 5,Math,1
583940,95,Grade 5,Fluency,158
583940,95,Grade 5,Kiswahili,1
28112,97,Grade 1,Fluency,74
28112,97,Grade 1,Kiswahili,1
28112,97,Grade 1,Math,1
16230,99,Grade 3,Math,1
16230,99,Grade 3,Kiswahili,1
16230,99,Grade 3,Fluency,61
32940,100,Grade 2,Fluency,170
32940,100,Grade 2,Kiswahili,1
32940,100,Grade 2,Math,1
286984,101,Grade 3,Fluency,60
286984,101,Grade 3,Math,1
286984,101,Grade 3,Kiswahili,1
628537,103,Grade 2,Kiswahili,1
628537,103,Grade 2,Fluency,223
628537,103,Grade 2,Math,1
581940,104,Grade 2,Math,1
581940,104,Grade 2,Kiswahili,1
581940,104,Grade 2,Fluency,74
425124,105,Grade 1,Fluency,104
425124,105,Grade 1,Math,1
425124,105,Grade 1,Kiswahili,1
196896,108,Grade 1,Math,1
196896,108,Grade 1,Kiswahili,1
196896,108,Grade 1,Fluency,20
112034,109,Grade 2,Fluency,173
112034,109,Grade 2,Kiswahili,1
112034,109,Grade 2,Math,1
356775,110,Grade 1,Fluency,17
356775,110,Grade 1,Math,1
356775,110,Grade 1,Kiswahili,1
230373,111,Grade 3,Math,1
230373,111,Grade 3,Fluency,155
230373,111,Grade 3,Kiswahili,1
56406,112,Grade 3,Math,1
56406,112,Grade 3,Fluency,37
56406,112,Grade 3,Kiswahili,0
7956,115,Grade 1,Fluency,15
7956,115,Grade 1,Math,1
7956,115,Grade 1,Kiswahili,0
166905,118,Grade 3,Math,1
166905,118,Grade 3,Fluency,50
166905,118,Grade 3,Kiswahili,1
155343,119,Grade 4,Fluency,124
155343,119,Grade 4,Kiswahili,1
155343,119,Grade 4,Math,1
425124,122,Grade 4,Math,0
425124,122,Grade 4,Kiswahili,1
425124,122,Grade 4,Fluency,129
196896,123,Grade 1,Fluency,
196896,123,Grade 1,Kiswahili,
196896,123,Grade 1,Math,
257904,124,Grade 3,Fluency,74
257904,124,Grade 3,Math,1
257904,124,Grade 3,Kiswahili,1
108210,125,Grade 2,Math,0
108210,125,Grade 2,Fluency,4
108210,125,Grade 2,Kiswahili,0
49698,127,Grade 2,Kiswahili,1
49698,127,Grade 2,Math,1
49698,127,Grade 2,Fluency,95
388800,128,Grade 2,Fluency,182
388800,128,Grade 2,Kiswahili,1
388800,128,Grade 2,Math,1
73360,132,Grade 3,Kiswahili,1
73360,132,Grade 3,Math,1
73360,132,Grade 3,Fluency,140
56803,137,Grade 1,Kiswahili,0
56803,137,Grade 1,Fluency,40
56803,137,Grade 1,Math,1
155343,138,Grade 2,Math,1
155343,138,Grade 2,Kiswahili,1
155343,138,Grade 2,Fluency,169
156096,142,Grade 4,Fluency,136
156096,142,Grade 4,Kiswahili,1
156096,142,Grade 4,Math,1
259688,143,Grade 4,Kiswahili,1
259688,143,Grade 4,Fluency,87
259688,143,Grade 4,Math,0
223941,144,Grade 3,Math,0
223941,144,Grade 3,Fluency,150
223941,144,Grade 3,Kiswahili,0
401280,149,Grade 1,Kiswahili,0
401280,149,Grade 1,Math,1
401280,149,Grade 1,Fluency,79
30690,151,Grade 2,Fluency,28
30690,151,Grade 2,Kiswahili,1
30690,151,Grade 2,Math,1
419336,155,Grade 1,Fluency,67
419336,155,Grade 1,Kiswahili,1
419336,155,Grade 1,Math,1
56803,157,Grade 3,Kiswahili,0
56803,157,Grade 3,Math,0
56803,157,Grade 3,Fluency,1
401898,158,Grade 2,Fluency,181
401898,158,Grade 2,Kiswahili,1
401898,158,Grade 2,Math,0
958934,159,Grade 5,Math,1
958934,159,Grade 5,Kiswahili,1
958934,159,Grade 5,Fluency,225
88122,160,Grade 5,Kiswahili,1
88122,160,Grade 5,Math,1
88122,160,Grade 5,Fluency,126
49698,164,Grade 2,Fluency,139
49698,164,Grade 2,Kiswahili,1
49698,164,Grade 2,Math,1
963352,165,Grade 2,Fluency,90
963352,165,Grade 2,Math,1
963352,165,Grade 2,Kiswahili,1
196896,166,Grade 2,Fluency,100
196896,166,Grade 2,Kiswahili,1
196896,166,Grade 2,Math,1
56803,168,Grade 2,Fluency,61
56803,168,Grade 2,Math,1
56803,168,Grade 2,Kiswahili,1
112034,170,Grade 4,Fluency,83
112034,170,Grade 4,Kiswahili,1
112034,170,Grade 4,Math,1
403506,172,Grade 3,Fluency,268
403506,172,Grade 3,Math,1
403506,172,Grade 3,Kiswahili,1
239870,173,Grade 1,Math,1
239870,173,Grade 1,Kiswahili,1
239870,173,Grade 1,Fluency,99
963352,174,Grade 3,Math,0
963352,174,Grade 3,Kiswahili,1
963352,174,Grade 3,Fluency,24
34675,176,Grade 4,Fluency,178
34675,176,Grade 4,Math,1
34675,176,Grade 4,Kiswahili,1
257904,177,Grade 2,Fluency,109
257904,177,Grade 2,Math,1
257904,177,Grade 2,Kiswahili,1
8084,183,Grade 3,Kiswahili,0
8084,183,Grade 3,Fluency,52
8084,183,Grade 3,Math,0
687400,185,Grade 4,Fluency,218
687400,185,Grade 4,Math,1
687400,185,Grade 4,Kiswahili,1
388800,186,Grade 4,Kiswahili,1
388800,186,Grade 4,Math,1
388800,186,Grade 4,Fluency,134
363280,188,Grade 2,Fluency,175
363280,188,Grade 2,Math,1
363280,188,Grade 2,Kiswahili,1
314160,189,Grade 4,Math,1
314160,189,Grade 4,Kiswahili,1
314160,189,Grade 4,Fluency,118
792,190,Grade 1,Kiswahili,1
792,190,Grade 1,Math,1
792,190,Grade 1,Fluency,45
20972,194,Grade 1,Fluency,45
20972,194,Grade 1,Kiswahili,1
20972,194,Grade 1,Math,1
628537,197,Grade 3,Kiswahili,0
628537,197,Grade 3,Math,0
628537,197,Grade 3,Fluency,86
34092,198,Grade 5,Math,
34092,198,Grade 5,Fluency,42
34092,198,Grade 5,Kiswahili,1
616880,199,Grade 3,Kiswahili,1
616880,199,Grade 3,Math,1
616880,199,Grade 3,Fluency,96
56803,200,Grade 3,Kiswahili,1
56803,200,Grade 3,Math,1
56803,200,Grade 3,Fluency,66
388800,207,Grade 1,Math,0
388800,207,Grade 1,Kiswahili,1
388800,207,Grade 1,Fluency,62
28860,208,Grade 1,Fluency,12
28860,208,Grade 1,Math,1
28860,208,Grade 1,Kiswahili,0
30690,210,Grade 1,Kiswahili,0
30690,210,Grade 1,Math,1
30690,210,Grade 1,Fluency,16
34092,211,Grade 2,Math,1
34092,211,Grade 2,Kiswahili,0
34092,211,Grade 2,Fluency,94
10904,212,Grade 3,Fluency,60
10904,212,Grade 3,Math,1
10904,212,Grade 3,Kiswahili,1
226128,215,Grade 5,Kiswahili,1
226128,215,Grade 5,Fluency,225
226128,215,Grade 5,Math,1
88122,243,Grade 2,Math,1
88122,243,Grade 2,Kiswahili,1
88122,243,Grade 2,Fluency,36
419336,246,Grade 2,Math,1
419336,246,Grade 2,Fluency,79
419336,246,Grade 2,Kiswahili,1
156096,247,Grade 3,Kiswahili,1
156096,247,Grade 3,Math,0
156096,247,Grade 3,Fluency,91
324884,248,Grade 3,Fluency,121
324884,248,Grade 3,Kiswahili,1
324884,248,Grade 3,Math,1
759451,251,Grade 2,Kiswahili,
759451,251,Grade 2,Fluency,
759451,251,Grade 2,Math,
792,253,Grade 5,Kiswahili,1
792,253,Grade 5,Fluency,190
792,253,Grade 5,Math,0
858450,256,Grade 5,Kiswahili,1
858450,256,Grade 5,Math,1
858450,256,Grade 5,Fluency,191
958934,258,Grade 1,Math,1
958934,258,Grade 1,Fluency,140
958934,258,Grade 1,Kiswahili,1
47025,259,Grade 2,Fluency,165
47025,259,Grade 2,Kiswahili,1
47025,259,Grade 2,Math,1
10904,260,Grade 3,Math,1
10904,260,Grade 3,Fluency,92
10904,260,Grade 3,Kiswahili,1
991980,261,Grade 3,Fluency,107
991980,261,Grade 3,Kiswahili,1
991980,261,Grade 3,Math,1
958934,263,Grade 3,Fluency,192
958934,263,Grade 3,Math,1
958934,263,Grade 3,Kiswahili,1
581940,264,Grade 1,Math,1
581940,264,Grade 1,Kiswahili,1
581940,264,Grade 1,Fluency,97
423500,265,Grade 4,Fluency,151
423500,265,Grade 4,Kiswahili,1
423500,265,Grade 4,Math,1
201569,267,Grade 4,Kiswahili,1
201569,267,Grade 4,Fluency,258
201569,267,Grade 4,Math,1
35175,268,Grade 5,Kiswahili,1
35175,268,Grade 5,Fluency,198
35175,268,Grade 5,Math,1
175100,269,Grade 2,Kiswahili,1
175100,269,Grade 2,Math,0
175100,269,Grade 2,Fluency,100
687400,270,Grade 2,Kiswahili,0
687400,270,Grade 2,Fluency,89
687400,270,Grade 2,Math,0
323877,274,Grade 2,Kiswahili,1
323877,274,Grade 2,Fluency,58
323877,274,Grade 2,Math,1
42240,275,Grade 5,Fluency,218
42240,275,Grade 5,Math,1
42240,275,Grade 5,Kiswahili,1
56406,276,Grade 4,Fluency,87
56406,276,Grade 4,Math,1
56406,276,Grade 4,Kiswahili,1
273888,281,Grade 5,Kiswahili,1
273888,281,Grade 5,Math,1
273888,281,Grade 5,Fluency,149
25263,283,Grade 5,Kiswahili,1
25263,283,Grade 5,Math,1
226128,284,Grade 2,Fluency,19
226128,284,Grade 2,Kiswahili,0
226128,284,Grade 2,Math,1
88122,287,Grade 2,Fluency,51
88122,287,Grade 2,Kiswahili,1
88122,287,Grade 2,Math,1
75848,288,Grade 5,Fluency,115
75848,288,Grade 5,Kiswahili,1
75848,288,Grade 5,Math,1
34675,289,Grade 2,Math,1
34675,289,Grade 2,Kiswahili,1
34675,289,Grade 2,Fluency,76
223941,292,Grade 3,Fluency,10
223941,292,Grade 3,Math,0
223941,292,Grade 3,Kiswahili,0
609982,294,Grade 5,Kiswahili,1
609982,294,Grade 5,Fluency,79
609982,294,Grade 5,Math,0
28112,296,Grade 3,Kiswahili,
28112,296,Grade 3,Fluency,
28112,296,Grade 3,Math,
39078,300,Grade 3,Math,1
39078,300,Grade 3,Kiswahili,1
39078,300,Grade 3,Fluency,211
324884,302,Grade 2,Kiswahili,1
324884,302,Grade 2,Fluency,221
324884,302,Grade 2,Math,1
759451,305,Grade 3,Math,1
759451,305,Grade 3,Fluency,237
759451,305,Grade 3,Kiswahili,1
489918,306,Grade 4,Fluency,
489918,306,Grade 4,Kiswahili,
489918,306,Grade 4,Math,
25263,307,Grade 5,Kiswahili,1
25263,307,Grade 5,Math,1
34675,308,Grade 2,Kiswahili,1
34675,308,Grade 2,Fluency,38
34675,308,Grade 2,Math,1
609982,309,Grade 2,Math,1
609982,309,Grade 2,Kiswahili,1
609982,309,Grade 2,Fluency,162
56406,310,Grade 3,Fluency,101
56406,310,Grade 3,Math,1
56406,310,Grade 3,Kiswahili,1
108210,315,Grade 5,Kiswahili,0
108210,315,Grade 5,Math,0
108210,315,Grade 5,Fluency,132
25263,317,Grade 1,Fluency,14
25263,317,Grade 1,Math,1
25263,317,Grade 1,Kiswahili,0
173720,318,Grade 1,Kiswahili,0
173720,318,Grade 1,Fluency,11
173720,318,Grade 1,Math,1
230373,321,Grade 2,Fluency,76
230373,321,Grade 2,Math,1
230373,321,Grade 2,Kiswahili,1
822894,323,Grade 2,Fluency,117
822894,323,Grade 2,Kiswahili,1
822894,323,Grade 2,Math,1
7956,326,Grade 1,Fluency,9
7956,326,Grade 1,Kiswahili,0
7956,326,Grade 1,Math,1
206948,328,Grade 1,Kiswahili,0
206948,328,Grade 1,Fluency,65
206948,328,Grade 1,Math,1
324884,336,Grade 1,Fluency,89
324884,336,Grade 1,Kiswahili,1
324884,336,Grade 1,Math,1
447445,337,Grade 5,Math,0
447445,337,Grade 5,Kiswahili,1
447445,337,Grade 5,Fluency,127
401898,341,Grade 4,Kiswahili,1
401898,341,Grade 4,Math,1
401898,341,Grade 4,Fluency,159
609982,342,Grade 4,Math,0
609982,342,Grade 4,Kiswahili,1
609982,342,Grade 4,Fluency,316
416,344,Grade 2,Kiswahili,1
416,344,Grade 2,Math,0
416,344,Grade 2,Fluency,41
136992,345,Grade 3,Math,1
136992,345,Grade 3,Kiswahili,1
136992,345,Grade 3,Fluency,81
156096,350,Grade 2,Math,1
156096,350,Grade 2,Kiswahili,1
156096,350,Grade 2,Fluency,164
196896,351,Grade 1,Math,
196896,351,Grade 1,Fluency,
196896,351,Grade 1,Kiswahili,
39078,352,Grade 2,Kiswahili,1
39078,352,Grade 2,Fluency,170
39078,352,Grade 2,Math,1
864156,353,Grade 1,Fluency,0
864156,353,Grade 1,Math,1
864156,353,Grade 1,Kiswahili,0
416,354,Grade 2,Math,1
416,354,Grade 2,Kiswahili,1
416,354,Grade 2,Fluency,47
28860,355,Grade 5,Fluency,79
28860,355,Grade 5,Kiswahili,1
28860,355,Grade 5,Math,0
401898,356,Grade 4,Math,1
401898,356,Grade 4,Fluency,99
401898,356,Grade 4,Kiswahili,1
324884,358,Grade 2,Fluency,114
324884,358,Grade 2,Kiswahili,1
324884,358,Grade 2,Math,1
286984,359,Grade 3,Fluency,167
286984,359,Grade 3,Math,1
286984,359,Grade 3,Kiswahili,1
401280,361,Grade 2,Kiswahili,
401280,361,Grade 2,Fluency,
401280,361,Grade 2,Math,0
314160,363,Grade 1,Kiswahili,1
314160,363,Grade 1,Math,1
314160,363,Grade 1,Fluency,108
166905,364,Grade 4,Math,1
166905,364,Grade 4,Kiswahili,1
166905,364,Grade 4,Fluency,117
401280,366,Grade 5,Fluency,214
401280,366,Grade 5,Math,0
401280,366,Grade 5,Kiswahili,1
49404,367,Grade 1,Fluency,1
49404,367,Grade 1,Math,1
49404,367,Grade 1,Kiswahili,1
112034,368,Grade 2,Math,1
112034,368,Grade 2,Fluency,173
112034,368,Grade 2,Kiswahili,1
8084,371,Grade 1,Kiswahili,0
8084,371,Grade 1,Math,1
8084,371,Grade 1,Fluency,3
65520,372,Grade 5,Fluency,89
65520,372,Grade 5,Math,1
65520,372,Grade 5,Kiswahili,1
359640,373,Grade 3,Fluency,58
359640,373,Grade 3,Math,1
359640,373,Grade 3,Kiswahili,1
201569,374,Grade 5,Math,1
201569,374,Grade 5,Kiswahili,1
201569,374,Grade 5,Fluency,109
592421,375,Grade 3,Math,1
592421,375,Grade 3,Kiswahili,1
592421,375,Grade 3,Fluency,55
403506,380,Grade 2,Kiswahili,1
403506,380,Grade 2,Fluency,41
403506,380,Grade 2,Math,0
196896,382,Grade 1,Fluency,34
196896,382,Grade 1,Kiswahili,1
196896,382,Grade 1,Math,1
196896,384,Grade 5,Kiswahili,1
196896,384,Grade 5,Fluency,109
196896,384,Grade 5,Math,1
8084,385,Grade 4,Math,1
8084,385,Grade 4,Fluency,27
8084,385,Grade 4,Kiswahili,1
223941,387,Grade 2,Fluency,30
223941,387,Grade 2,Math,0
223941,387,Grade 2,Kiswahili,0
165300,391,Grade 3,Math,0
165300,391,Grade 3,Kiswahili,1
165300,391,Grade 3,Fluency,54
230373,392,Grade 3,Math,1
230373,392,Grade 3,Kiswahili,0
230373,392,Grade 3,Fluency,88
264915,393,Grade 1,Math,1
264915,393,Grade 1,Kiswahili,1
264915,393,Grade 1,Fluency,19
609982,395,Grade 4,Fluency,264
609982,395,Grade 4,Kiswahili,1
609982,395,Grade 4,Math,1
581940,398,Grade 1,Kiswahili,1
581940,398,Grade 1,Math,1
581940,398,Grade 1,Fluency,70
168804,399,Grade 1,Kiswahili,1
168804,399,Grade 1,Fluency,79
168804,399,Grade 1,Math,1
108210,400,Grade 2,Kiswahili,1
108210,400,Grade 2,Fluency,143
108210,400,Grade 2,Math,1
323877,404,Grade 5,Fluency,130
323877,404,Grade 5,Kiswahili,1
323877,404,Grade 5,Math,1
223545,405,Grade 2,Fluency,28
223545,405,Grade 2,Kiswahili,1
223545,405,Grade 2,Math,1
363280,407,Grade 4,Fluency,284
363280,407,Grade 4,Kiswahili,1
363280,407,Grade 4,Math,1
56406,408,Grade 4,Kiswahili,1
56406,408,Grade 4,Fluency,55
56406,408,Grade 4,Math,1
326599,410,Grade 1,Math,1
326599,410,Grade 1,Fluency,91
326599,410,Grade 1,Kiswahili,1
8084,412,Grade 1,Kiswahili,1
8084,412,Grade 1,Math,1
8084,412,Grade 1,Fluency,18
423500,415,Grade 1,Kiswahili,1
423500,415,Grade 1,Fluency,87
423500,415,Grade 1,Math,0
273888,420,Grade 2,Kiswahili,1
273888,420,Grade 2,Fluency,157
273888,420,Grade 2,Math,1
16230,421,Grade 2,Kiswahili,1
16230,421,Grade 2,Fluency,98
16230,421,Grade 2,Math,1
55770,424,Grade 3,Fluency,83
55770,424,Grade 3,Math,1
55770,424,Grade 3,Kiswahili,1
65520,427,Grade 1,Kiswahili,1
65520,427,Grade 1,Fluency,39
65520,427,Grade 1,Math,1
118338,428,Grade 5,Kiswahili,0
118338,428,Grade 5,Math,0
118338,428,Grade 5,Fluency,213
423500,430,Grade 5,Math,0
423500,430,Grade 5,Kiswahili,1
423500,430,Grade 5,Fluency,72
314160,431,Grade 5,Kiswahili,
314160,431,Grade 5,Math,
314160,431,Grade 5,Fluency,
25263,432,Grade 4,Kiswahili,1
25263,432,Grade 4,Math,1
563568,435,Grade 2,Math,1
563568,435,Grade 2,Kiswahili,1
563568,435,Grade 2,Fluency,79
34675,436,Grade 3,Math,1
34675,436,Grade 3,Kiswahili,0
34675,436,Grade 3,Fluency,31
583940,439,Grade 5,Fluency,135
583940,439,Grade 5,Kiswahili,1
583940,439,Grade 5,Math,0
56803,440,Grade 4,Fluency,130
56803,440,Grade 4,Math,1
56803,440,Grade 4,Kiswahili,1
17404,443,Grade 2,Kiswahili,1
17404,443,Grade 2,Fluency,72
17404,443,Grade 2,Math,1
388800,444,Grade 1,Kiswahili,1
388800,444,Grade 1,Math,1
388800,444,Grade 1,Fluency,104
201569,449,Grade 4,Fluency,150
201569,449,Grade 4,Kiswahili,1
201569,449,Grade 4,Math,0
447445,452,Grade 5,Kiswahili,1
447445,452,Grade 5,Math,1
447445,452,Grade 5,Fluency,294
297076,453,Grade 1,Fluency,78
297076,453,Grade 1,Kiswahili,0
297076,453,Grade 1,Math,0
616880,458,Grade 3,Kiswahili,1
616880,458,Grade 3,Math,1
616880,458,Grade 3,Fluency,187
759451,460,Grade 4,Math,1
759451,460,Grade 4,Fluency,82
759451,460,Grade 4,Kiswahili,1
581940,461,Grade 2,Fluency,62
581940,461,Grade 2,Kiswahili,1
581940,461,Grade 2,Math,1
329344,462,Grade 4,Kiswahili,1
329344,462,Grade 4,Math,1
329344,462,Grade 4,Fluency,69
297076,463,Grade 2,Math,1
297076,463,Grade 2,Kiswahili,1
297076,463,Grade 2,Fluency,77
55770,464,Grade 4,Kiswahili,1
55770,464,Grade 4,Fluency,132
55770,464,Grade 4,Math,1
28112,465,Grade 5,Fluency,73
28112,465,Grade 5,Math,1
28112,465,Grade 5,Kiswahili,1
363280,467,Grade 4,Fluency,274
363280,467,Grade 4,Math,1
363280,467,Grade 4,Kiswahili,1
123695,469,Grade 3,Fluency,81
123695,469,Grade 3,Kiswahili,1
123695,469,Grade 3,Math,1
406350,470,Grade 4,Kiswahili,1
406350,470,Grade 4,Fluency,231
406350,470,Grade 4,Math,1
34092,472,Grade 2,Kiswahili,1
34092,472,Grade 2,Fluency,123
34092,472,Grade 2,Math,1
14475,474,Grade 3,Kiswahili,1
14475,474,Grade 3,Math,1
14475,474,Grade 3,Fluency,87
581940,475,Grade 3,Kiswahili,1
581940,475,Grade 3,Math,0
581940,475,Grade 3,Fluency,107
447445,476,Grade 4,Fluency,196
447445,476,Grade 4,Kiswahili,1
447445,476,Grade 4,Math,0
39078,478,Grade 3,Fluency,42
39078,478,Grade 3,Math,0
39078,478,Grade 3,Kiswahili,1
356775,479,Grade 1,Fluency,29
356775,479,Grade 1,Kiswahili,1
356775,479,Grade 1,Math,1
49698,480,Grade 2,Fluency,170
49698,480,Grade 2,Kiswahili,1
49698,480,Grade 2,Math,1
687400,481,Grade 5,Math,1
687400,481,Grade 5,Kiswahili,1
687400,481,Grade 5,Fluency,124
32940,485,Grade 5,Fluency,143
32940,485,Grade 5,Kiswahili,1
32940,485,Grade 5,Math,1
581940,487,Grade 2,Fluency,106
581940,487,Grade 2,Math,1
581940,487,Grade 2,Kiswahili,1
49404,488,Grade 4,Kiswahili,1
49404,488,Grade 4,Fluency,
49404,488,Grade 4,Math,1
326599,490,Grade 5,Kiswahili,1
326599,490,Grade 5,Fluency,187
326599,490,Grade 5,Math,1
909600,491,Grade 3,Fluency,143
909600,491,Grade 3,Kiswahili,1
909600,491,Grade 3,Math,1
646056,493,Grade 2,Kiswahili,1
646056,493,Grade 2,Fluency,67
646056,493,Grade 2,Math,1
592421,496,Grade 3,Kiswahili,1
592421,496,Grade 3,Fluency,98
592421,496,Grade 3,Math,1
49404,497,Grade 3,Kiswahili,1
49404,497,Grade 3,Math,1
49404,497,Grade 3,Fluency,131
324884,499,Grade 2,Kiswahili,1
324884,499,Grade 2,Math,1
324884,499,Grade 2,Fluency,164
173720,500,Grade 5,Fluency,127
173720,500,Grade 5,Kiswahili,1
173720,500,Grade 5,Math,1
304425,504,Grade 2,Math,1
304425,504,Grade 2,Fluency,97
304425,504,Grade 2,Kiswahili,1
501872,506,Grade 2,Fluency,69
501872,506,Grade 2,Kiswahili,0
501872,506,Grade 2,Math,0
175100,507,Grade 4,Fluency,238
175100,507,Grade 4,Kiswahili,1
175100,507,Grade 4,Math,1
403506,509,Grade 4,Kiswahili,1
403506,509,Grade 4,Math,0
403506,509,Grade 4,Fluency,117
175100,510,Grade 4,Fluency,252
175100,510,Grade 4,Math,1
175100,510,Grade 4,Kiswahili,1
792,511,Grade 2,Math,0
792,511,Grade 2,Kiswahili,1
792,511,Grade 2,Fluency,6
628537,512,Grade 3,Fluency,47
628537,512,Grade 3,Math,1
628537,512,Grade 3,Kiswahili,1
326599,513,Grade 2,Math,1
326599,513,Grade 2,Fluency,25
326599,513,Grade 2,Kiswahili,1
108210,514,Grade 4,Math,0
108210,514,Grade 4,Kiswahili,0
108210,514,Grade 4,Fluency,0
56406,517,Grade 1,Fluency,13
56406,517,Grade 1,Math,0
56406,517,Grade 1,Kiswahili,0
223941,518,Grade 1,Fluency,5
223941,518,Grade 1,Math,0
223941,518,Grade 1,Kiswahili,1
56803,524,Grade 4,Fluency,105
56803,524,Grade 4,Math,1
56803,524,Grade 4,Kiswahili,1
53103,525,Grade 2,Kiswahili,1
53103,525,Grade 2,Math,1
53103,525,Grade 2,Fluency,173
40580,526,Grade 4,Kiswahili,1
40580,526,Grade 4,Math,1
40580,526,Grade 4,Fluency,73
36848,527,Grade 1,Math,1
36848,527,Grade 1,Fluency,32
36848,527,Grade 1,Kiswahili,0
46528,528,Grade 1,Fluency,52
46528,528,Grade 1,Math,1
46528,528,Grade 1,Kiswahili,1
65520,529,Grade 1,Kiswahili,1
65520,529,Grade 1,Fluency,60
65520,529,Grade 1,Math,1
88122,531,Grade 2,Fluency,76
88122,531,Grade 2,Math,1
88122,531,Grade 2,Kiswahili,1
49404,533,Grade 3,Math,1
49404,533,Grade 3,Fluency,101
49404,533,Grade 3,Kiswahili,
963352,536,Grade 4,Math,1
963352,536,Grade 4,Kiswahili,1
963352,536,Grade 4,Fluency,107
283971,537,Grade 4,Math,0
283971,537,Grade 4,Kiswahili,1
283971,537,Grade 4,Fluency,159
14475,540,Grade 3,Fluency,124
14475,540,Grade 3,Kiswahili,0
14475,540,Grade 3,Math,1
49404,541,Grade 3,Fluency,110
49404,541,Grade 3,Kiswahili,1
49404,541,Grade 3,Math,1
609982,543,Grade 3,Kiswahili,1
609982,543,Grade 3,Fluency,169
609982,543,Grade 3,Math,1
304425,546,Grade 1,Math,1
304425,546,Grade 1,Fluency,32
304425,546,Grade 1,Kiswahili,0
42240,548,Grade 1,Kiswahili,0
42240,548,Grade 1,Math,0
42240,548,Grade 1,Fluency,4
609982,549,Grade 3,Fluency,96
609982,549,Grade 3,Math,1
609982,549,Grade 3,Kiswahili,0
425124,550,Grade 4,Fluency,42
425124,550,Grade 4,Math,1
425124,550,Grade 4,Kiswahili,0
324884,552,Grade 3,Math,1
324884,552,Grade 3,Kiswahili,1
324884,552,Grade 3,Fluency,85
628537,553,Grade 1,Kiswahili,0
628537,553,Grade 1,Fluency,58
628537,553,Grade 1,Math,1
403506,555,Grade 2,Math,1
403506,555,Grade 2,Fluency,103
403506,555,Grade 2,Kiswahili,1
581940,557,Grade 2,Fluency,101
